dataset,seed,alpha,method,is,cov,size,sscv_pct
botswana,5,0.15,D,2.8321102957527238,0.8552368245496998,0.9019346230820547,11.908809891808348
botswana,5,0.15,A,2.7987547253724703,0.857238158772515,0.895263509006004,15.000000000000002
botswana,5,0.15,B,2.9753168779186123,0.8418945963975984,0.867244829886591,15.000000000000002
botswana,5,0.15,C,2.903268845897265,0.847898599066044,0.875250166777852,15.000000000000002
botswana,6,0.05,D,2.989326217478319,0.95263509006004,1.09472981987992,5.000000000000004
botswana,6,0.05,A,3.122748498999333,0.9479653102068045,1.0413609072715144,5.714285714285705
botswana,6,0.05,B,3.0326884589726486,0.9492995330220146,1.0046697798532356,9.285714285714286
botswana,6,0.05,C,3.0733822548365577,0.9492995330220146,1.0453635757171447,5.000000000000004
botswana,6,0.1,D,3.1040693795863907,0.8945963975983989,0.9959973315543695,9.999999999999998
botswana,6,0.1,A,3.208805870580387,0.8879252835223482,0.9673115410273516,9.999999999999998
botswana,6,0.1,B,3.1674449633088724,0.8885923949299533,0.9392928619079386,13.52941176470589
botswana,6,0.1,C,3.078719146097398,0.8939292861907938,0.9573048699132756,9.999999999999998
botswana,6,0.15,D,3.043584611963531,0.8412274849899933,0.9266177451634423,18.333333333333336
botswana,6,0.15,A,3.0865021125194576,0.8365577051367579,0.9072715143428952,15.000000000000002
botswana,6,0.15,B,3.0440293529019344,0.837891927951968,0.8825883922615076,25.0
botswana,6,0.15,C,3.0602623971536578,0.8372248165443629,0.8899266177451635,10.67233384853169
botswana,7,0.05,D,3.14342895263509,0.9479653102068045,1.0620413609072714,5.000000000000004
botswana,7,0.05,A,2.847898599066044,0.9546364242828552,1.0333555703802535,5.52631578947368
botswana,7,0.05,B,3.1020680453635756,0.9472981987991995,0.9939959973315544,5.000000000000004
botswana,7,0.05,C,2.8345563709139427,0.9539693128752502,0.9933288859239493,5.000000000000004
botswana,7,0.1,D,2.9546364242828553,0.9012675116744496,0.9799866577718479,9.999999999999998
botswana,7,0.1,A,3.074716477651768,0.8945963975983989,0.9666444296197465,9.999999999999998
botswana,7,0.1,B,3.058705803869246,0.8939292861907938,0.9372915276851234,9.999999999999998
botswana,7,0.1,C,2.7825216811207474,0.9079386257505003,0.9412941961307538,8.024871982443305
botswana,7,0.15,D,2.8172114743162107,0.8579052701801201,0.9226150767178118,11.716184519155593
botswana,7,0.15,A,3.025572603958194,0.8412274849899933,0.9086057371581054,15.000000000000002
botswana,7,0.15,B,2.948854792083611,0.8452301534356238,0.885256837891928,15.000000000000002
botswana,7,0.15,C,2.809873248832555,0.8559039359573049,0.8885923949299533,12.465437788018441
botswana,8,0.05,D,3.3075383589059375,0.9432955303535691,1.039359573048699,5.000000000000004
botswana,8,0.05,A,3.028685790527018,0.9499666444296198,1.027351567711808,5.000000000000004
botswana,8,0.05,B,3.4269513008672448,0.9386257505003336,0.9719813208805871,5.000000000000004
botswana,8,0.05,C,2.9933288859239493,0.9506337558372249,1.0186791194129419,5.000000000000004
botswana,8,0.1,D,2.9119412941961307,0.9032688458972649,0.9773182121414277,9.999999999999998
botswana,8,0.1,A,3.008005336891261,0.8979319546364243,0.9666444296197465,9.999999999999998
botswana,8,0.1,B,3.2621747831887924,0.8825883922615076,0.9139426284189459,9.999999999999998
botswana,8,0.1,C,3.1014009339559707,0.8925950633755837,0.9533022014676451,9.999999999999998
botswana,8,0.15,D,2.8839226150767177,0.8519012675116745,0.9092728485657104,15.000000000000002
botswana,8,0.15,A,2.9448521236379808,0.8472314876584389,0.9079386257505003,15.000000000000002
botswana,8,0.15,B,2.9628641316433177,0.8432288192128086,0.8725817211474316,15.000000000000002
botswana,8,0.15,C,2.979986657771848,0.8438959306204136,0.8985990660440294,15.000000000000002
botswana,9,0.05,D,2.878585723815877,0.9546364242828552,1.0640426951300868,5.000000000000004
botswana,9,0.05,A,3.0126751167444965,0.9499666444296198,1.0113408939292863,5.000000000000004
botswana,9,0.05,B,2.4729819879919948,0.9633088725817212,1.0053368912608405,5.000000000000004
botswana,9,0.05,C,2.531020680453636,0.961974649766511,1.010006671114076,5.000000000000004
botswana,9,0.1,D,3.028018679119413,0.8972648432288192,0.9733155436957972,9.999999999999998
botswana,9,0.1,A,2.8012008005336893,0.9079386257505003,0.9599733155436958,9.999999999999998
botswana,9,0.1,B,2.647765176784523,0.9152768512341561,0.9533022014676451,9.999999999999998
botswana,9,0.1,C,2.805870580386925,0.9072715143428952,0.9513008672448299,9.999999999999998
botswana,9,0.15,D,2.791861240827218,0.8599066044029353,0.923949299533022,15.000000000000002
botswana,9,0.15,A,2.792973093173227,0.8585723815877252,0.9072715143428952,15.000000000000002
botswana,9,0.15,B,2.8523460084500782,0.8525683789192795,0.8865910607071381,15.000000000000002
botswana,9,0.15,C,2.913942628418946,0.847898599066044,0.885923949299533,15.000000000000002
ip,0,0.05,D,5.0754,0.9468,2.9474,5.675039246467817
ip,0,0.05,A,4.5896,0.9452,2.3976,4.478672985781984
ip,0,0.05,B,4.2602,0.947,2.1402,3.750000000000009
ip,0,0.05,C,3.5478,0.965,2.1478,4.150141643059491
ip,0,0.1,D,4.2562,0.8974,2.2042,5.369030390738061
ip,0,0.1,A,3.9244,0.8946,1.8164,9.999999999999998
ip,0,0.1,B,3.796,0.896,1.716,9.999999999999998
ip,0,0.1,C,3.3568,0.9176,1.7088,6.710526315789467
ip,0,0.15,D,3.8295333333333335,0.852,1.8562,7.21311475409836
ip,0,0.15,A,3.5663333333333336,0.849,1.553,15.000000000000002
ip,0,0.15,B,3.576,0.8416,1.464,15.000000000000002
ip,0,0.15,C,3.3174,0.8674,1.5494,8.073593073593077
ip,1,0.05,D,5.2286,0.9462,3.0766,2.8703703703703676
ip,1,0.05,A,4.7552,0.9454,2.5712,1.382978723404249
ip,1,0.05,B,4.0738,0.9492,2.0418,1.6272189349112454
ip,1,0.05,C,3.4938,0.967,2.1738,2.8038067349926865
ip,1,0.1,D,4.364,0.9024,2.412,4.644935972060537
ip,1,0.1,A,3.9004,0.9014,1.9284,5.275590551181097
ip,1,0.1,B,3.6794,0.9014,1.7074,9.999999999999998
ip,1,0.1,C,3.2106,0.9288,1.7866,5.1543571707698295
ip,1,0.15,D,3.920866666666667,0.848,1.8942,8.529411764705886
ip,1,0.15,A,3.5925333333333334,0.8502,1.5952,15.000000000000002
ip,1,0.15,B,3.4966,0.8482,1.4726,15.000000000000002
ip,1,0.15,C,3.1969333333333334,0.8808,1.6076,7.647058823529418
ip,2,0.05,D,5.3086,0.9572,3.5966,4.516380655226204
ip,2,0.05,A,4.7672,0.947,2.6472,3.1275720164609
ip,2,0.05,B,4.1242,0.9518,2.1962,3.6700336700336678
ip,2,0.05,C,3.3734,0.9674,2.0694,3.4084880636604864
ip,2,0.1,D,4.5606,0.8972,2.5046,3.2584269662921272
ip,2,0.1,A,4.0576,0.9012,2.0816,3.5386819484240717
ip,2,0.1,B,3.9016,0.8962,1.8256,9.999999999999998
ip,2,0.1,C,3.453,0.9204,1.861,6.819787985865721
ip,2,0.15,D,4.073533333333334,0.8454,2.0122,3.125
ip,2,0.15,A,3.724866666666667,0.8486,1.7062,7.857142857142863
ip,2,0.15,B,3.6698666666666666,0.8414,1.5552,15.000000000000002
ip,2,0.15,C,3.4806,0.8662,1.6966,8.220338983050846
ip,3,0.05,D,4.7314,0.962,3.2114,7.871287128712867
ip,3,0.05,A,4.5208,0.9472,2.4088,4.209453952730236
ip,3,0.05,B,4.3162,0.9456,2.1402,4.491315136476426
ip,3,0.05,C,3.5084,0.9648,2.1004,2.810218978102197
ip,3,0.1,D,4.1526,0.9078,2.3086,5.3643546971027245
ip,3,0.1,A,4.0708,0.8892,1.8548,5.0085275724843665
ip,3,0.1,B,3.8372,0.8928,1.6932,8.734177215189876
ip,3,0.1,C,3.3828,0.9172,1.7268,6.969696969696971
ip,3,0.15,D,3.8234,0.8548,1.8874,8.999999999999996
ip,3,0.15,A,3.6804,0.8422,1.5764,3.0652680652680675
ip,3,0.15,B,3.5812,0.8422,1.4772,15.000000000000002
ip,3,0.15,C,3.4113333333333338,0.8604,1.55,8.103448275862068
ip,4,0.05,D,4.7908,0.9522,2.8788,2.5965130759651234
ip,4,0.05,A,4.3954,0.9482,2.3234,1.9576217583807676
ip,4,0.05,B,3.8786,0.953,1.9986,3.795180722891567
ip,4,0.05,C,3.3972,0.9684,2.1332,3.567335243553016
ip,4,0.1,D,4.0868,0.9006,2.0988,5.934959349593494
ip,4,0.1,A,3.6832,0.9024,1.7312,5.121951219512189
ip,4,0.1,B,3.4646,0.9006,1.4766,9.999999999999998
ip,4,0.1,C,3.236,0.9252,1.74,5.5925925925925934
ip,4,0.15,D,3.6643333333333334,0.8496,1.659,8.939393939393947
ip,4,0.15,A,3.4303333333333335,0.8502,1.433,15.000000000000002
ip,4,0.15,B,3.3769333333333336,0.843,1.2836,15.000000000000002
ip,4,0.15,C,3.235866666666667,0.8708,1.5132,7.951541850220267
ip,5,0.05,D,5.1976,0.9496,3.1816,6.980033277870213
ip,5,0.05,A,4.5998,0.9524,2.6958,2.8291814946619143
ip,5,0.05,B,4.437,0.9494,2.413,3.623853211009176
ip,5,0.05,C,3.3478,0.9714,2.2038,3.3103601600711463
ip,5,0.1,D,4.374,0.8976,2.326,7.741935483870965
