experiment,config_id,alpha,method,best_bw,is,cov,size,sscv_pct,dataset,seed,tile,size_px
S2,phoenix_az_s100,0.05,E,30,3.7455,0.955,1.9455,17.222222222222218,,,phoenix_az,100.0
S2,phoenix_az_s100,0.1,E,30,3.4445,0.906,1.5645,9.371069182389935,,,phoenix_az,100.0
S2,phoenix_az_s100,0.15,E,30,3.2320000000000007,0.859,1.352,15.000000000000002,,,phoenix_az,100.0
S2,phoenix_az_s200,0.05,E,100,3.72525,0.955875,1.96025,5.000000000000004,,,phoenix_az,200.0
S2,phoenix_az_s200,0.1,E,100,3.4705,0.905125,1.573,9.999999999999998,,,phoenix_az,200.0
S2,phoenix_az_s200,0.15,E,100,3.306666666666667,0.85325,1.35,15.000000000000002,,,phoenix_az,200.0
S2,phoenix_az_s500,0.05,E,20,3.8509421130535664,0.9510941312957555,1.894707364883786,3.7878787878787956,,,phoenix_az,500.0
S2,phoenix_az_s500,0.1,E,20,3.5232027843341203,0.8993479217506101,1.5101612193463216,9.999999999999998,,,phoenix_az,500.0
S2,phoenix_az_s500,0.15,E,20,3.3070835166886696,0.8494219306316758,1.2993759251110133,15.000000000000002,,,phoenix_az,500.0
S2,polk_iowa_s100,0.05,E,30,3.72136068034017,0.9464732366183092,1.5802901450725362,5.000000000000004,,,polk_iowa,100.0
S2,polk_iowa_s100,0.1,E,30,3.271135567783892,0.904952476238119,1.370185092546273,9.999999999999998,,,polk_iowa,100.0
S2,polk_iowa_s100,0.15,E,30,3.203768550942138,0.8509254627313657,1.2161080540270135,15.000000000000002,,,polk_iowa,100.0
S2,polk_iowa_s200,0.05,E,50,3.517573483427142,0.9544715447154472,1.6964352720450282,5.000000000000004,,,polk_iowa,200.0
S2,polk_iowa_s200,0.1,E,50,3.4208880550343963,0.900187617260788,1.4246404002501563,9.999999999999998,,,polk_iowa,200.0
S2,polk_iowa_s200,0.15,E,50,3.253783614759225,0.850656660412758,1.262539086929331,15.000000000000002,,,polk_iowa,200.0
S2,polk_iowa_s500,0.05,E,100,3.914341155054112,0.9448478665306368,1.7082558162795816,3.734177215189882,,,polk_iowa,500.0
